DATE,AAPL,AMZN,BA,DWDP,JNJ,JPM,NEE,PG,SPG,VZ,XOM
2/28/2017,134.5711673,842.049988,175.4340696,60.02305798,118.8771198,87.61959154,126.0979177,87.92664979,174.4724305,47.08766434,77.99424845
3/1/2017,135.45714,849.01001,177.5334039,60.74949885,119.3450609,90.5731736,125.1829615,87.98485441,173.9283851,47.04954665,78.61974364
3/2/2017,136.5990618,847.280029,178.6562796,61.24347503,119.9299879,90.0059223,125.5625599,88.14974248,171.4276038,47.26873359,79.66865707
3/3/2017,136.4317091,846.27002,177.1721174,61.06912863,120.134724,90.11349893,126.3509963,87.18947597,170.6735149,47.45933243,79.15863229
3/6/2017,136.4415779,841.119995,176.1761561,60.8850953,119.5205409,89.09638076,126.3023202,86.89849332,169.4517716,47.4974552,79.225997
3/7/2017,136.6286015,843.75,176.3616807,61.12724473,119.3158248,89.20395285,126.7695379,87.35436787,167.9150464,47.04001901,79.04314972
3/8/2017,136.658152,846.789978,177.211186,61.02069488,120.3979447,89.09638232,125.4457542,87.06339503,165.7578834,46.60163327,77.95576293
3/9/2017,134.9157031,850.309998,175.3462015,60.83667074,121.0511029,89.1452773,125.2802937,87.39317313,161.4721889,46.77317911,77.28214875
3/10/2017,136.4809316,851.719971,173.7253284,61.43718619,122.3867099,88.53891027,125.5722982,87.92664979,159.9640751,46.79223333,78.10011078
3/13/2017,136.6581387,851.710022,172.8953896,61.76650598,122.6304179,88.93011829,126.0005765,88.12063755,159.2959264,46.82082843,77.99425058
3/14/2017,136.6778121,847.549988,173.5202934,61.46624787,123.5857992,88.77363837,126.5651105,88.09153666,159.066858,46.93518519,77.40724798
3/15/2017,136.8648756,847.109985,173.7741595,61.76650678,123.4200715,89.12571433,126.8960397,88.00425042,159.8781785,46.94471615,77.99425183
3/16/2017,138.0756976,850.51001,173.451932,61.65996253,124.5606896,89.55604453,126.1271108,88.36312757,161.3099341,47.5069804,78.5908709
3/17/2017,137.7114574,850.640015,173.969452,61.81493564,124.736161,88.65628476,126.6235036,88.18853046,159.4104768,47.66899444,78.73521837
3/20/2017,138.0461781,851.01001,174.916569,61.71808256,124.7556709,87.81519143,126.0881685,88.20793587,160.1263544,47.78335527,78.36954707
3/21/2017,137.55396,841.309998,171.3623922,60.93352504,123.946519,85.14522893,126.1368508,88.29522789,159.3245773,47.7642931,78.52351062
3/22/2017,137.5834846,839.049988,171.3624064,60.02306131,123.039868,84.11832238,128.2684816,88.02364414,156.1079239,47.08766336,78.35992972
3/23/2017,138.4202636,844.799988,172.4266989,60.53640242,122.5036863,85.17456717,128.2587558,87.8781452,157.9501001,47.09719334,78.38879089
3/24/2017,138.1643061,843.530029,170.649602,60.83666776,121.9869944,84.86161077,128.2100836,87.49985935,158.9236917,47.17343822,78.0904802
3/27/2017,136.4612514,833.5,169.6536707,60.36206068,122.0064927,83.35548608,127.1588787,87.47076911,158.0360044,46.62069234,77.74405091
3/28/2017,138.4300919,850.099976,170.8741816,61.52436089,121.6457988,85.06700149,127.0323141,87.4222699,157.7305587,46.38244388,77.90764366
3/29/2017,140.9600849,859.02002,172.7977403,62.48962209,121.236334,86.14279669,126.7500505,87.67446089,159.4677434,46.72552522,78.4754067
3/30/2017,141.2652563,871.659973,173.0418587,62.42134862,121.1583489,86.18192511,124.3750795,87.39317122,159.7349988,46.60163716,78.85069445
3/31/2017,140.7828886,876.650024,172.6414989,61.96286531,120.9146274,85.82004935,124.4140016,87.14097948,162.4744051,46.458683,78.77370735
4/3/2017,140.8222864,885.419983,171.3623934,60.77277373,121.1583474,84.6953511,123.7034603,86.76269287,163.9920616,46.30620776,78.28293556
4/4/2017,140.940399,890.280029,172.5926738,61.04591071,121.0998492,85.30002675,124.9882866,86.73359999,162.6748457,46.58257756,78.26369022
4/5/2017,141.5704255,905.619995,172.7196275,61.80678723,121.28508,84.71968653,125.5625766,87.06339188,162.3216995,46.70646811,79.36072104
4/6/2017,141.2160385,894.48999,172.944187,61.80678753,121.3728239,83.85410227,125.9518989,86.62690294,161.3480901,46.45368396,79.35108923
4/7/2017,141.03884,889.309998,173.0809131,61.55315829,121.6945295,84.30656987,125.3387052,86.50080822,161.2622159,46.5404782,79.56279224
4/10/2017,140.6745998,899,173.2957091,61.4848764,121.1096048,84.00164951,125.1440318,86.08373136,161.4721764,46.72371173,79.79374539
4/11/2017,137.8788358,897.5,172.7879884,60.83130385,120.8366389,83.41146903,124.8909584,86.60749977,163.4956998,46.57905222,79.31259578
4/12/2017,138.8140309,895.25,171.7920214,60.27527775,121.2363357,83.63769553,125.0758978,86.86939485,164.3165712,46.61762755,79.58203372
4/13/2017,138.853424,884.48999,171.4209855,59.53390447,121.8212645,83.018021,126.5456359,87.09247616,164.9274786,46.83943548,78.49464532
4/17/2017,138.6762053,887.5,171.5088497,59.37782812,121.7920142,82.98850858,126.9933987,87.4222701,165.9201328,46.94551598,78.36955028
4/18/2017,138.9124735,900.780029,172.9441978,59.62170207,117.9119886,83.35244329,126.9739238,87.6259488,165.5001525,46.8105066,77.97500519
4/19/2017,138.2627677,897.369995,173.959699,59.81679622,118.0679707,82.97867339,127.3730039,87.47593248,165.8533172,47.14803252,77.2725282
4/20/2017,138.9616917,896.289978,174.1452152,59.98263126,118.3019404,83.16556717,125.7766942,87.29023239,165.2519891,46.01007528,77.65743286
4/21/2017,139.6409706,896.77002,175.1899911,60.18748146,118.48717,83.12621566,127.7623534,86.6060612,163.505261,45.4507436,77.4361135
4/24/2017,140.9502188,903.820007,177.3283432,61.07517094,119.0818432,85.00494313,127.9278129,86.99702224,159.9163661,45.28679873,77.76329473
4/25/2017,141.6294794,903,178.2266565,62.245758,119.9202485,86.814819,128.3463615,87.446625,159.8018169,44.92034061,78.21558304
4/26/2017,141.1471278,907.559998,175.8637109,62.59692835,120.3784465,86.69678052,129.1153006,85.62867991,157.377398,44.95891449,78.32142113
4/27/2017,141.078231,912.109985,178.2852231,61.46536456,120.300456,85.58528648,129.0958446,85.25727499,157.5301117,44.99748823,77.88839965
4/28/2017,141.0388307,924.330017,178.7051176,60.86056776,120.0372262,85.52625476,129.5241187,85.17908175,157.3296851,44.25491964,78.48502133
5/1/2017,142.7025205,927.799988,177.5138798,60.97762819,119.910503,85.1426471,129.241838,85.11067002,157.3296719,44.245281,78.40804298
5/2/2017,144.553234,941.409973,178.2266553,60.78253391,119.8032585,84.6114827,129.5241243,84.07463015,159.7731775,44.12955063,78.81220534
5/3/2017,142.0232758,935.900024,177.9532537,59.71924488,119.9494912,84.61148283,129.621456,83.95735303,157.6828463,44.19706271,78.82182242
5/4/2017,143.5392737,934.219971,177.8848911,59.72900462,120.1347227,85.15248529,129.5533059,84.34830915,155.869294,44.12955375,78.33105538
5/5/2017,144.4744929,930.299988,178.8418026,60.00213436,119.7740177,85.00493411,130.6531928,84.18214969,156.5947088,44.36100686,78.53314266
5/8/2017,146.709136,939.210022,180.6384277,60.65571565,119.9299872,85.23117733,130.5948044,84.28966482,153.1489909,44.64067331,78.90842585
5/9/2017,151.0603056,950.200012,181.6636924,60.22650327,119.793506,85.08362956,129.932937,84.27011477,153.3494233,44.51530282,79.0623951
5/10/2017,149.741175,945,175.311082,59.93384982,119.3060657,85.05413311,129.8647732,84.43627449,154.8098152,44.65996112,79.31359992
5/11/2017,150.556947,940.780029,179.236858,59.11443992,119.2670694,84.93608323,130.0302532,83.93779446,152.4044831,44.34172021,79.75071469
5/12/2017,152.8897801,951.530029,179.6894566,60.10944395,119.9202432,84.92624509,131.0717357,83.97690119,150.1518545,44.17777687,79.89642456
5/15/2017,153.2654003,956.059998,179.3450791,60.71424525,121.2070876,85.43773853,131.4513556,84.29943926,150.1017686,43.63773097,80.28498625
5/16/2017,152.9392053,960.909973,179.1089538,60.64595586,123.8685187,85.9098771,132.1716472,84.24079967,147.8914185,43.63772786,80.09069866
5/17/2017,147.9868822,944.119995,175.8030472,58.65597098,123.273829,82.59505322,132.2787088,83.98667307,146.8007157,42.87587564,79.61472642
5/18/2017,149.3905267,944.76001,172.6447371,57.83656217,122.7961442,81.9950465,132.103508,83.5859335,147.2060971,42.88552029,79.09017696
5/19/2017,150.8732651,959.719971,173.9237858,59.10469188,123.264088,82.77211071,131.9866988,83.73255565,147.9686401,43.16518205,79.3524565
5/22/2017,151.1500356,962.900024,179.5812302,59.4558664,123.4493184,82.83112832,133.3493735,84.08441573,151.4820442,43.66665611,79.5855804
5/23/2017,151.5454348,966.849976,179.9157388,59.25102249,124.1122387,83.12621874,134.6926252,84.03554051,151.3855198,43.78238336,79.88670519
5/24/2017,150.9127866,970.22998,180.506086,59.44611123,124.092745,83.84426686,135.3155567,84.26034243,151.3758632,43.25197787,79.66329315
5/25/2017,151.2686413,982.109985,182.6017869,58.90959373,123.9735557,83.68688597,136.4865274,84.59265069,153.5476261,43.4062772,79.1873145
5/26/2017,151.54543,989.25,183.2708382,58.95836778,124.4642417,83.62786628,137.5941718,84.85654157,151.5110002,43.62808336,78.51705579
5/30/2017,151.5651933,995.52002,183.1921089,59.1242009,123.8361678,82.40816895,137.4667555,85.13021166,149.5612543,43.64736863,78.7210548
5/31/2017,150.6261536,982.159973,183.7135961,59.07543061,124.9745278,80.30321088,137.9372421,85.47229076,148.5670646,44.61174154,78.16736941
6/1/2017,150.4679883,991.369995,181.5588396,60.36307228,125.7301681,80.31305052,137.9372445,85.39411044,147.3315786,44.45744142,77.89537643
6/2/2017,151.1302641,995.669983,184.6286071,61.26051552,126.4269343,80.63764591,138.9272778,86.01963272,146.8103596,44.6696046,76.99198253
6/5/2017,151.6937184,1003.51001,185.7699391,61.30928909,127.3788456,81.22782655,138.9860808,86.00985328,144.9281624,44.38029059,77.12797876
6/6/2017,152.0100315,1001.25,183.684086,61.31904523,127.6045524,80.78518956,138.917468,86.44968046,145.4107701,44.59245695,77.92451567
6/7/2017,152.7019707,1002,183.3888912,61.68973335,128.144284,81.73930616,138.6430265,86.40081652,147.5053393,44.70817821,78.04108267
6/8/2017,152.6228799,1006.109985,184.6778115,62.02139746,127.5358622,82.51636465,137.8490404,85.38432743,148.3547196,44.36100174,78.18678708
6/9/2017,144.3393508,927,186.2028509,62.42134744,127.8793088,83.99180943,137.1824779,85.57003931,147.2350659,44.37064566,78.38107121
6/12/2017,140.8697218,945,185.0221812,62.16771899,128.9686124,85.46724075,135.4180744,86.09782133,149.9955999,45.0553502,79.77985798
6/13/2017,143.4793432,966.099976,186.3012548,62.3920823,128.9489891,85.55577343,136.2120522,85.78505445,151.6268182,44.74675571,80.20727375
6/14/2017,142.184428,966.710022,187.7475907,62.62618872,130.0382979,84.41476223,137.819637,86.06850088,153.2869993,44.75639844,79.22616467
6/15/2017,140.5731963,950.859985,188.2887148,61.63119991,129.351359,84.82788254,137.8784506,86.23465644,152.5630855,44.8431922,79.24560111
6/16/2017,140.5633058,982,192.6572238,62.27502271,130.5583868,84.61149191,139.11353,86.80153413,152.7464764,44.67924906,79.84785717
6/19/2017,142.0065091,989.900024,193.8280764,63.07492381,130.9999998,85.42790448,139.3193814,87.1827112,151.742651,44.64067147,80.18784809
6/20/2017,143.2717706,992.02002,195.1169761,63.16271686,131.4023621,85.93938404,139.1135072,87.58344522,152.1480382,44.11026797,79.08047117
6/21/2017,142.9455633,992.650024,194.3790578,61.97262213,131.5201103,85.33937474,137.6431791,87.27069069,152.070837,43.4834287,78.81819353
6/22/2017,143.4497021,997.200012,195.9729674,62.0116417,132.7468034,85.23117936,137.8980314,86.88950592,151.5399569,43.57021922,78.58506167
6/23/2017,143.4398125,998.02002,195.4810181,61.73850154,132.7958657,85.19182258,138.5743999,86.88950684,152.9009216,43.68594573,78.44906561
6/26/2017,143.7067253,992,196.720736,61.74825683,133.6594724,85.2016729,140.2897725,87.25114245,154.1364006,43.83060107,78.59477772
6/27/2017,141.9669641,976,195.687653,61.44585736,132.4720359,86.06725587,139.2115478,86.606064,154.2425756,43.21340188,78.789047
6/28/2017,141.5122533,969.210022,196.0910442,61.96595435,131.0785163,87.1492406,137.9666743,86.26398469,157.070675,43.08803287,78.86676097
6/29/2017,140.6423797,965.25,193.2869223,61.41566535,129.8420026,88.83123646,136.2120657,84.96405587,156.877639,42.80836764,78.10908311
6/30/2017,142.1251234,967.609985,194.2118054,61.51392526,129.8125644,89.66732878,137.3001205,85.03246734,154.6286696,42.77943807,78.39077462
7/3/2017,141.4529529,951,194.565985,62.21161306,130.1756683,90.40781133,136.858994,85.20840349,156.6556542,42.92409391,78.41020844
7/5/2017,141.0773224,955.25,195.6581244,61.9462977,129.9499578,91.5946482,135.5161089,85.51138775,152.678909,42.85658847,78.21592594
7/6/2017,140.770895,959.02002,197.5472048,61.74976556,129.9401628,91.86169084,135.2710529,85.3843362,150.0245473,42.519794,77.79822865
7/7/2017,141.2552416,969.140015,198.0194902,62.16247712,129.2335829,92.20785545,136.6237574,85.3061427,150.0245488,42.21691735,77.52624419
7/10/2017,141.7198297,983.5,198.934519,62.43761837,128.7821531,92.06938743,137.496153,84.92496397,149.9762845,42.18760468,77.67195212
7/11/2017,142.7182073,983.719971,200.7153677,62.81102421,128.0461398,91.26826807,136.7707846,84.358075,147.814199,41.81633845,77.74966724
7/12/2017,143.153152,998.099976,202.9980261,63.59715584,129.3120923,91.06057205,137.8784409,84.86632091,149.7736013,42.01174322,78.43935907
7/13/2017,143.7660296,995.900024,202.0436329,64.31448197,128.5466381,91.32760744,137.4177303,84.54378398,150.3913325,42.05082326,78.41993049
7/14/2017,145.6342607,996.890015,203.4112648,64.39309404,129.2826576,89.5869133,138.5253845,84.76858352,151.8391686,42.41231844,78.45877662
7/17/2017,146.8599966,1003.809998,205.2019395,64.72719934,129.2924491,90.24955891,137.9666615,84.77834354,154.4549411,42.55886926,78.51707041
7/18/2017,146.9588398,1004,204.1885409,64.45205496,128.6349623,89.3297558,138.2019195,85.48206999,154.0881348,42.26576734,78.10908265
7/19/2017,148.2241075,1022.5,205.6250202,64.7075424,132.0107947,90.0023067,138.5351883,86.29061448,153.9530177,42.20714668,77.97307967
7/20/2017,148.4613514,1022.52002,206.5400364,65.11044035,133.0902607,89.90340504,139.191941,86.98999972,154.4935334,42.48071124,78.43935765
7/21/2017,147.1664207,1011,206.0382502,64.91390296,132.579982,89.52756359,139.7506828,86.49747687,153.4703993,42.81289692,77.71080787
7/24/2017,148.1746824,1027.430054,207.9962009,64.72719527,130.3719413,89.9132975,140.2897932,86.65508592,153.6151808,42.67611546,77.47768066
7/25/2017,150.0528272,1032.47998,208.5373558,65.47400888,128.998042,91.25837484,139.3095555,87.21657231,153.6634476,42.80312704,77.973083
7/26/2017,151.298305,1043.199951,219.4291192,64.83529263,128.3111036,90.67484493,139.4761985,87.54163733,155.8062449,43.26232499,77.90508769
7/27/2017,145.6046138,1040.180054,232.8888462,64.98070243,127.1531407,90.16054885,141.1131776,87.66969635,155.9510465,44.89394486,77.61367086
7/28/2017,147.472852,1001,234.7090781,64.53542236,128.0854165,89.9132975,141.5934803,88.61533983,154.6576237,46.03705284,76.03030688
7/31/2017,146.4250578,987.02002,237.9264118,63.53602388,129.6359239,90.49681915,142.3874624,88.86160287,152.2928317,46.38877819,77.32225164
8/1/2017,146.7018291,991.580017,235.3092573,63.40738884,129.8125781,91.26827076,142.95601,89.36397994,153.6441427,47.41464976,77.68167188
8/2/2017,154.3626445,981.72998,234.049864,63.23917463,129.0471161,91.4957512,142.5051051,89.17682015,154.7348468,46.79912858,77.51653675
8/3/2017,153.2357465,984.590027,232.2394717,62.57621029,129.0569358,91.22870359,143.4461081,89.46248891,154.5611124,46.8382055,78.00223168
8/4/2017,153.8980408,982,232.5740116,62.85326492,130.322884,92.44522114,143.1912583,89.1768216,156.1440654,47.03361072,77.75938526
8/7/2017,154.8667629,987.140015,233.3906513,62.94232602,130.0382827,92.68258275,143.5931638,89.16697353,157.7945984,47.56119992,77.57481555
