DATE,AAPL,AMZN,BA,DWDP,JNJ,JPM,NEE,PG,SPG,VZ,XOM
3/1/2017,137.9674166,854.830017,180.4431433,61.64059286,121.3240705,91.91304432,126.7889885,89.1294044,176.4673501,47.63087683,80.18829419
3/2/2017,138.0953945,854.820007,181.3316869,61.66964942,121.2363338,91.8543533,128.1322113,88.8384114,174.2529063,47.66899495,81.07361127
3/3/2017,137.6524043,851.98999,179.2519053,61.6115368,120.8171385,91.062167,127.5092888,88.17883744,173.4511025,47.78335198,80.44810771
3/6/2017,137.5933555,848.48999,178.0020785,61.96022184,121.3045771,90.28955051,127.4995545,87.79086009,171.9334683,47.7928867,79.77450686
3/7/2017,137.8000725,848.460022,178.5293428,61.50499095,121.3338308,90.06459545,127.626079,87.77144958,170.9407988,47.70711813,80.14979424
3/8/2017,137.6228865,853.070007,178.3828918,62.03770937,121.5483056,90.80789354,126.6527023,87.63566612,168.8504429,47.01142267,79.27410638
3/9/2017,136.628596,856.400024,178.2852315,61.68902144,123.0398633,90.11350062,126.7111092,87.77145657,166.8173756,47.12578769,78.63899179
3/10/2017,137.1897209,857.349976,177.6798479,62.03771022,123.312845,89.97658052,126.7013909,88.42133006,163.9825123,47.19249468,79.36071829
3/13/2017,137.2586252,855.690002,174.9654034,62.22173782,123.7612772,89.76142272,127.1880684,88.74141035,162.0353276,47.20202602,78.85069478
3/14/2017,137.4751959,853.75,175.4536078,62.10551623,124.5411865,89.6342889,127.4800644,88.83840002,161.6821836,47.29732564,78.16746432
3/15/2017,138.5580909,854.450012,175.0142217,62.47357201,125.7597905,90.51448919,129.0958275,89.02270195,165.108816,47.88818681,78.96616795
3/16/2017,138.8238708,855.5,175.7562932,62.45420309,125.46733,90.76877049,128.2587562,88.96450413,162.8180407,47.88818176,79.10088785
3/17/2017,138.8041721,853.830017,176.1273557,62.35733894,125.7012991,90.01571272,128.2684733,89.23608646,161.9971684,48.0597239,79.15863139
3/20/2017,139.2964042,857.799988,175.9027523,62.62855309,125.194365,89.16483726,127.6844678,88.66381783,161.5199253,48.23126658,78.94692488
3/21/2017,140.5761574,862.799988,176.0004056,62.69634809,125.2236127,88.64649257,128.8135724,88.99359825,161.9971707,48.25032433,79.24523408
3/22/2017,139.3948407,849.369995,172.9246906,60.95289959,124.4437011,86.13301337,129.6506412,89.04210243,161.3099275,47.91677123,78.99504258
3/23/2017,139.3751587,850.890015,173.6570029,61.92147531,123.8100243,86.55356,129.5727738,88.7123096,161.8730813,47.53557559,79.12013927
3/24/2017,139.5326584,851.799988,173.344527,62.24111335,123.1861033,86.15257822,129.7285126,88.18852816,160.6895162,47.48792972,78.93729951
3/27/2017,139.0207672,850.299988,172.2802533,62.62854757,122.971623,85.47775893,129.5533347,87.99454714,160.6990441,47.42121121,78.35992063
3/28/2017,141.7968296,858.460022,173.4909908,63.36466572,122.620681,87.06212872,128.0543379,88.32433138,160.4699591,47.03048298,78.9276776
3/29/2017,142.2398428,876.440002,173.7936966,63.10418208,122.1819705,86.8665194,127.5384646,88.14004439,162.159416,47.04954478,79.17788041
3/30/2017,142.2496832,877.059998,174.281921,62.98712852,122.2794643,87.49244974,127.1004716,87.84905319,163.2189053,46.92565671,80.70793042
3/31/2017,142.0232754,890.349976,173.9791947,62.48962575,121.694536,86.78827359,125.8350963,87.62595824,164.6411161,46.79223061,80.16903643
4/3/2017,141.8756154,893.48999,173.5398148,62.21649293,122.162475,86.23082113,125.3387016,87.3543679,166.9223729,46.93518691,79.20674158
4/4/2017,142.6336143,908.539978,174.5748122,61.69948432,121.6360305,86.23446827,126.4580441,87.25737803,167.714601,47.00189603,79.31259108
4/5/2017,143.1947386,923.719971,175.9320564,62.85055616,122.4451838,87.09022863,127.3535427,87.78115853,163.791632,47.2210884,80.40000486
4/6/2017,142.2693822,917.190002,174.0182591,62.43109753,122.3087098,85.48692509,126.9739227,87.1118817,162.865751,46.86836291,80.07281271
4/7/2017,141.9346576,900.090027,174.86777,62.01163862,122.3184531,85.38855731,126.8766053,86.9178909,163.1330361,47.17696218,80.21715579
4/10/2017,141.639349,908.51001,175.7270095,61.88482563,121.811514,85.27052686,126.185512,86.98579187,163.7916106,47.13839069,80.32301216
4/11/2017,141.1176083,911.23999,174.3893227,61.58242802,121.6555438,84.38525658,126.1173923,87.12157624,166.0537581,47.01301952,80.03431925
4/12/2017,139.9362766,904.090027,174.0475586,61.20199038,122.308704,84.54262924,127.0615317,87.70355833,166.8746295,47.19624836,80.20752832
4/13/2017,140.1627138,894.969971,172.7098719,60.19723489,122.4939361,85.56560793,127.9959369,87.81994422,166.3019567,47.17696294,79.61091385
4/17/2017,139.6704863,902.380005,174.8579915,60.24600963,122.6499085,84.67050765,127.7720842,87.8684496,168.1536508,47.35054931,78.87956725
4/18/2017,139.8279826,909.609985,175.7270118,60.36307337,120.2712092,84.22786921,128.5507658,88.39221613,166.8746304,47.72665879,78.73522157
4/19/2017,139.7886325,910.5,175.658667,60.41184262,119.2085808,84.51312668,128.4728969,88.40444504,167.8291318,47.7845165,78.43690776
4/20/2017,140.6942769,905.320007,175.5805594,60.96787009,119.08185,84.37542301,127.9959383,87.67141148,167.0082589,46.88765166,78.65822357
4/21/2017,140.4580322,903.650024,176.6643865,60.79228175,118.974611,84.27705584,130.7505549,87.26090701,167.0178016,46.45368517,77.94613043
4/24/2017,141.7082313,909.98999,178.1583093,61.64095079,120.1152153,86.60825816,129.5630541,87.6323243,165.2806479,45.67254853,78.33105437
4/25/2017,142.643438,909.47998,179.5155429,63.31879545,120.6416593,87.67056857,129.4559832,88.20898422,161.8348994,45.58575374,78.84107772
4/26/2017,142.3481295,915.75,178.685575,63.28952237,121.1388536,87.59188397,130.2638652,87.96462852,160.0977046,45.83649092,79.225984
4/27/2017,141.9149998,921.859985,179.427638,62.63594862,121.1875948,86.92301861,130.6240014,86.24442871,162.2644215,45.70147712,78.23482788
4/28/2017,142.0527893,949.590027,180.5700766,62.03115188,120.7878903,86.41151891,130.5461279,85.60912517,160.1836349,44.97819684,79.37995845
5/1/2017,144.9076267,954.400024,180.1404622,61.63120576,120.6709101,86.30332554,130.7408097,85.6189062,162.4935012,44.50566177,79.11051666
5/2/2017,145.7837676,950.099976,179.5741252,61.45561828,120.6319073,85.45740083,130.4682634,85.31591264,162.0066966,44.45743629,79.47618517
5/3/2017,145.1931315,946,179.4178896,60.91909248,120.5929095,85.67379961,130.6726795,84.67083902,162.0544429,44.60209604,79.9380841
5/4/2017,144.8485624,945,179.9060953,60.43135548,120.836632,86.29349417,130.9159944,85.26704595,158.1696346,44.53459093,79.25486045
5/5/2017,146.6599217,940.789978,180.7067752,61.67021814,120.6904088,85.90986782,131.6070897,84.65129831,158.3414386,45.06499675,79.13938753
5/8/2017,151.3064075,949.049988,181.995656,61.39708398,120.6904011,85.89020464,131.55843,84.66107594,157.4919537,45.07464063,79.81298778
5/9/2017,152.4680439,957.890015,182.7963481,61.2117421,120.3686903,86.40168416,131.3345541,84.85654464,155.5829415,44.92998177,79.87072144
5/10/2017,151.5426772,953.75,182.660807,60.5971802,119.9689865,86.04759725,130.8770692,84.82723038,158.2078214,44.96855942,80.0129982
5/11/2017,152.2966987,950.289978,181.3620836,60.54840605,120.1152198,86.04758526,131.0717489,84.67083298,156.0506671,44.71782344,80.34326057
5/12/2017,154.619638,962.789978,181.0177112,60.55817041,120.9828608,85.62462627,132.2105569,84.36785707,154.3039203,44.5153053,80.34326073
5/15/2017,154.8469757,963.150024,181.145616,61.41659219,124.1609793,86.05741984,132.9989833,84.74903529,152.1673441,44.30314513,80.79981845
5/16/2017,154.2637793,970.059998,180.2010826,61.19222991,125.1456113,86.64759649,133.1644725,85.03247942,150.7967339,44.02347765,80.84838487
5/17/2017,152.7909448,960.400024,179.7583247,60.77277354,124.677661,86.17545086,133.5148714,84.67083948,150.6230043,43.69559181,80.66382433
5/18/2017,151.5750811,962.75,175.6259497,59.36807509,124.6581728,83.41146959,134.0599433,84.27010668,149.377848,43.67630342,79.799292
5/19/2017,152.207718,968.919983,178.4989091,60.41184301,124.190223,83.94261948,133.9334051,84.4264979,153.6248459,43.82095436,79.74100474
5/22/2017,152.8008122,971.380005,182.33615,60.38257898,124.443703,83.89344616,134.8872733,84.44605105,154.5514455,43.93668154,79.97413638
5/23/2017,153.1171304,975.200012,181.4899828,59.93385977,124.9311358,84.66067303,136.3278518,84.58287399,152.7561351,43.95596989,80.51810645
5/24/2017,152.3955218,981,182.4148369,60.38258064,124.7849103,84.56231669,136.6879739,84.69039467,154.4163086,43.86917832,80.17812627
